country_code,country_name,region,sub_region,intermediate_region,income_group,organization_name,is_aggregate
MNG,Mongolia,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),EASTERN ASIA,,,,False
MNE,Montenegro,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),SOUTHERN EUROPE,,,,False
MOZ,Mozambique,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,,False
MMR,Myanmar,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),SOUTH-EASTERN ASIA,,,,False
NAM,Namibia,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,SOUTHERN AFRICA,,,False
NRU,Nauru,,MICRONESIA,,,,False
NPL,Nepal,ASIA MERIDIONAL,SOUTHERN ASIA,,,,False
NIC,Nicaragua,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,,,False
NER,Niger,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,,False
NGA,Nigeria,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,,False
NOR,Noruega,,NORTHERN EUROPE,,,,False
NCL,Nueva Caledonia,,MELANESIA,,,,False
NZL,Nueva Zelandia,,AUSTRALIA AND NEW ZEALAND,,,,False
OMN,Oman,,WESTERN ASIA,,,,False
NLD,Paises Bajos,,WESTERN EUROPE,,,,False
PAK,Pakistan,ASIA MERIDIONAL,SOUTHERN ASIA,,,,False
PLW,Palau,,MICRONESIA,,,,False
PAN,Panama,,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,,,False
PNG,Papua Nueva Guinea,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),MELANESIA,,,,False
PRY,Paraguay,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,,,False
PER,Peru,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,,,False
PYF,Polinesia Francesa,,POLYNESIA,,,,False
POL,Polonia,,EASTERN EUROPE,,,,False
PRT,Portugal,,SOUTHERN EUROPE,,,,False
PRI,Puerto Rico,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,,False
QAT,Qatar,,WESTERN ASIA,,,,False
MAC,"Region Administrativa Especial De Macao, China",,EASTERN ASIA,,,,False
GBR,Reino Unido,,NORTHERN EUROPE,,,,False
SYR,Republica Arabe Siria,ORIENTE MEDIO Y NORTE DE ÁFRICA (EXCLUIDO ALTOS INGRESOS),WESTERN ASIA,,,,False
CAF,Republica Centroafricana,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,MIDDLE AFRICA,,,False
CZE,Republica Checa,,EASTERN EUROPE,,,,False
MDA,Republica De Moldova,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),EASTERN EUROPE,,,,False
LAO,Republica Democratica Popular Lao,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),SOUTH-EASTERN ASIA,,,,False
DOM,Republica Dominicana,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,,False
SVK,Republica Eslovaca,,EASTERN EUROPE,,,,False
PSE,Ribera Occidental Y Gaza,ORIENTE MEDIO Y NORTE DE ÁFRICA (EXCLUIDO ALTOS INGRESOS),WESTERN ASIA,,,,False
ROU,Rumania,,EASTERN EUROPE,,,,False
