country_code,year,inflation_percent,exports_percent_gdp,imports_percent_gdp,gdp_current_local,gdp_current_million,gdp_growth_percent
MLI,1983,0.0,15.9260948830904,32.0827171788883,1297765325.90273,1297.76532590273,1.82087377231504
MLI,1984,0.0,19.0643724332315,36.878972021448,1232932104.07276,1232.93210407276,-0.287011156196641
MLI,1985,0.0,17.0165380643252,42.7181737587097,1392196047.99695,1392.1960479969498,20.2866349407131
MLI,1986,0.0,14.4912388792245,34.9581708267101,1852163453.15326,1852.16345315326,2.69262088094571
MLI,1987,0.0,15.561726454991,30.4947830984003,2090629986.97643,2090.62998697643,-0.139164289077982
MLI,1988,0.0,14.5807207561982,32.2462117193039,2169040603.19394,2169.04060319394,7.38972104432425
MLI,1989,-0.076692997928865,15.8101938599128,29.005230337752,2181821909.27892,2181.82190927892,4.17738810944253
MLI,1990,0.606339703737522,15.6535918082124,30.9305694356864,2681912148.69842,2681.91214869842,-2.50239510347761
MLI,1991,1.80042722001854,16.2112685675379,31.2557130479602,2724131458.26216,2724.13145826216,11.7452037933746
MLI,1992,-6.24250599520423,15.629103351586,33.87290169366,2830673378.13006,2830.67337813006,-3.21866249030752
MLI,1993,-0.263767884261804,15.8535047661871,30.3920994268263,2818281085.08646,2818.2810850864603,3.17216817730322
MLI,1994,23.1767911524285,19.4427753535685,36.9914960313146,2081846497.74648,2081.84649774648,3.77993405101067
MLI,1995,13.4417696811974,19.5610676592397,36.6831605342619,2706425157.39397,2706.42515739397,0.921022397691601
MLI,1996,6.80545996788235,18.871477613841,33.6229437827311,2780422049.21204,2780.42204921204,7.05578540412266
MLI,1997,-0.362999795946695,23.8265592935591,33.210862748542,2697105823.4661,2697.1058234661,4.82902433934804
MLI,1998,4.03658945954986,21.2539525168432,28.924397498797,2920358710.50646,2920.3587105064603,7.57166763990284
MLI,1999,-1.20190368637502,20.2509889197506,29.7754466838801,3440724709.59258,3440.72470959258,5.70094365419142
MLI,2000,-0.677661659046769,22.4785904568103,32.943984975458,2961484953.86444,2961.48495386444,-0.0608349718131223
MLI,2001,5.18701191944066,26.3124370675839,33.888365950417,3468337942.32063,3468.33794232063,15.3762394579174
MLI,2002,5.03282275711195,28.0874538136608,29.7418375585208,3908121307.01957,3908.12130701957,3.10630825205686
MLI,2003,-1.34672619047621,25.7693403925944,32.8588013102597,4714071979.68835,4714.0719796883495,9.1190419953243
MLI,2004,-3.09978128063956,23.6771847065241,31.6344329544929,5454249125.72966,5454.24912572966,1.55999866053489
MLI,2005,6.39788293897881,22.9888693418902,31.1364564343947,6247515888.14533,6247.515888145331,6.53477877481288
MLI,2006,1.54352596927584,28.4289450992381,32.547728736082,6905934217.90901,6905.93421790901,4.66218687758322
MLI,2007,1.41200201714576,24.1521111507005,32.497635094203,8156468826.12645,8156.468826126449,3.49361681253744
MLI,2008,9.17098813667678,25.1441899954037,38.3318260606405,9838403100.50554,9838.40310050554,4.77314508142975
MLI,2009,2.46375188572299,21.7133136937268,28.8058792394168,10231962390.2119,10231.9623902119,4.80632226697864
MLI,2010,1.10892690670187,22.8371701772321,35.1481270629138,10689168016.2613,10689.1680162613,5.31393527895875
MLI,2011,2.95564395229391,22.7261779161711,31.1873798667489,12995112690.2596,12995.1126902596,3.21313378044307
MLI,2012,5.32312847064058,27.8563400059191,31.2642545447676,12442035339.1049,12442.0353391049,-0.83673463153076
MLI,2013,-0.606736356351471,24.9405402595496,39.8771206135254,13242690786.0938,13242.6907860938,2.29506828962617
MLI,2014,0.883814547137841,22.5554869569717,38.0832205310376,14364937124.0727,14364.9371240727,7.08468388056527
MLI,2015,1.45069057605961,24.0437085118274,39.5959311743242,13104764378.326,13104.764378326,6.17180002424978
MLI,2016,-1.79964707083386,23.4429129749282,40.320383449542,14026048335.7047,14026.0483357047,5.85229919941415
MLI,2017,1.75985742927156,22.4718769579376,36.1156089384537,15365713048.1993,15365.7130481993,5.30545608438166
MLI,2018,0.299546507387934,24.5226637508643,35.622374290146,17070867589.9055,17070.8675899055,4.74648432724561
MLI,2019,-1.65826694846365,25.7052911328497,37.9534116337441,17280250810.0321,17280.2508100321,4.75616080770808
MLI,2020,0.438088940320668,29.7477614015904,36.2953550676841,17465392764.3706,17465.3927643706,-1.235450447077
MLI,2021,3.92560283104276,27.8671459234148,39.339531922357,19309463508.0377,19309.4635080377,3.05261356942125
MLI,2022,9.62147608489072,31.1765585536895,42.2868639466224,18780322203.7584,18780.3222037584,3.47495171106735
MLI,2023,2.05880228274214,29.4050554839946,39.9858729507148,20661794596.0873,20661.7945960873,4.65677599093294
MLT,1960,3.38461538461553,0.0,0.0,0.0,0.0,0.0
MLT,1961,2.51132153100695,0.0,0.0,0.0,0.0,0.0
MLT,1962,0.168674698957635,0.0,0.0,0.0,0.0,0.0
MLT,1963,1.87635313921265,0.0,0.0,0.0,0.0,0.0
MLT,1964,2.18024399859687,0.0,0.0,0.0,0.0,0.0
MLT,1965,1.60221845610132,0.0,0.0,0.0,0.0,0.0
MLT,1966,0.52312357869953,0.0,0.0,0.0,0.0,0.0
MLT,1967,0.693868315713048,0.0,0.0,0.0,0.0,0.0
MLT,1968,2.03730057682276,0.0,0.0,0.0,0.0,0.0
MLT,1969,2.33428760186217,0.0,0.0,0.0,0.0,0.0
MLT,1970,3.71565884809263,44.1808649742388,71.3588131691477,250728789.959988,250.728789959988,0.0
MLT,1971,2.32381215838809,45.5107610130047,68.9391955635109,264578361.65285,264.57836165285,2.45399361227825
MLT,1972,3.37276106781155,46.5257294002961,67.4587716178087,295106782.887948,295.106782887948,5.83832702652147
MLT,1973,7.68928991786149,57.8978177319676,75.9117931660013,345616048.560497,345.616048560497,4.14613837325986
MLT,1974,7.25561627204007,74.6413700651091,101.080531568585,376081234.160072,376.081234160072,10.0364039597072
MLT,1975,8.79166666616691,73.6920087173953,86.3323258948059,474618290.461173,474.618290461173,19.5600808646509
MLT,1976,0.551512830258583,75.4141801322071,86.4914042416452,527936936.221412,527.936936221412,17.0170895648023
MLT,1977,10.0403748002364,76.9238344330666,90.4291437843337,625563338.254707,625.563338254707,12.1841698013334
MLT,1978,4.70751124951487,73.5535287758768,80.5320890823658,793673682.273944,793.673682273944,11.1611581906174
MLT,1979,7.14710743797893,79.3891825986364,84.6193251365709,1001288271.43496,1001.28827143496,10.4907731676094
MLT,1980,15.747254103486,80.9335661360345,86.406440989605,1250199088.73142,1250.19908873142,7.04971121492008
MLT,1981,11.5097558377123,72.5355257467701,80.5703546021791,1243509901.59105,1243.5099015910498,3.3117620744263
MLT,1982,5.81823397218665,61.5988576514419,76.5605912023365,1234474695.1709,1234.4746951709,2.2844523055533
MLT,1983,-0.880997560317507,59.8059920044725,73.6583349052165,1165730189.75039,1165.73018975039,-0.612390116892087
MLT,1984,-0.442500000750075,62.4184568364333,76.4760845455205,1101807308.35861,1101.8073083586098,0.942370935479644
MLT,1985,-0.235207459677474,64.5000320898411,79.1521634774385,1117797258.70192,1117.79725870192,2.58527966638202
MLT,1986,2.02788871414761,64.3349193462749,73.8246129264432,1435038010.11259,1435.03801011259,3.88519000696465
MLT,1987,0.431725669422442,69.5802382311618,78.4677241631606,1751293247.96064,1751.29324796064,4.11051445185944
MLT,1988,0.938344387128515,70.4050054201698,79.913169342142,2019503806.80456,2019.50380680456,8.41423629574032
MLT,1989,0.847691359226212,72.1342272825854,82.4682953660736,2118655261.44752,2118.65526144752,8.17910558123988
MLT,1990,2.9834058606356,75.8336262449983,88.6501113771416,2547330219.20136,2547.3302192013603,6.29139095831177
MLT,1991,2.54219284786975,77.3719647445128,87.8658450250562,2750214990.78865,2750.21499078865,6.25649208213186
MLT,1992,1.63321209889045,81.7595778593911,88.7058179791678,3021944675.40788,3021.94467540788,4.69093243062588
MLT,1993,4.14481954180488,84.8121839900987,94.0932508299505,2709194744.35593,2709.1947443559297,4.48074935883751
MLT,1994,4.12992181638259,85.9618426185406,95.7401068092093,2998504344.06831,2998.50434406831,5.65110473736061
MLT,1995,4.42664550286654,85.3209204746607,91.7426080115387,3709361628.90737,3709.36162890737,6.3424931833749
MLT,1996,2.05400000000009,77.1148153918056,86.9855117619567,3822488329.48903,3822.48832948903,3.77733576158319
